#Table 1 by Kravtsov et al 2018 (https://arxiv.org/pdf/1401.7329)
# 0 z; 1 R500 (kpc); 2 R500_erf (kpc); 3 M500 (10^14 Msun); 4 Rout (kpc); 5 Mstar,BCG(<Rout); 6 errMstar,BCG(<Rout); 7 Mstar,BCG (10^ 12 Msun), 8 errMstar,BCG (10^ 12 Msun); 9 Mstar,non-BCG; 10 err Mstar,non-BCG; 11 r1/2 (kpc); 12 err  r1/2 (kpc); 13 r1/2(<Rout) (kpc); 14 err  r1/2(<Rout) (kpc);
1539   11.96  0.200   15.60    220      1.95 0.17      3.12 0.36       12.22 1.58     179   41      52    9
1387   8.64  0.140   10.30    271      3.42 0.20      4.14 0.30       8.21 1.05      84    7      44    6
1235   5.98  0.070   7.00    308      2.49 0.21      3.06 0.30       5.28 0.74     174   24      69   19
1196   5.46  0.060   5.34    210      1.22 0.09      1.47 0.13       4.01 0.75      99   10      47    9
873   2.09  0.030   2.35    116      0.73 0.03      0.79 0.05       1.89 0.49      34    4      22    3
840   1.84  0.030   1.86    186      1.08 0.07      1.26 0.11       2.22 0.47      53    3      31    4
748   1.33  0.037   1.34    117      1.05 0.05      1.09 0.06       1.77 0.41      37    2      25    2
568   0.56  0.013   0.46    133      0.87 0.04      0.91 0.05       0.97 0.29      29    2      20    2
568   0.59  0.028   0.47    142      1.10 0.05      1.38 0.14       0.47 0.18      31    5      15    2
