# Table 3 from Giodini et al 2009 (https://arxiv.org/pdf/0904.0448.pdf)
# M500, fstar, errfstar, fgas, errfgas, fstar+gas, errfstar+gas

2.1e+13 0.062   0.005 0.074   0.028 0.136   0.028
5.1e+13 0.045   0.002 0.068   0.005 0.113   0.005
1.2e+14 0.036   0.004 0.080   0.003 0.116   0.005
3.0e+14 0.021   0.002 0.103   0.008 0.124   0.009
7.1e+14 0.019   0.002 0.123   0.007 0.141   0.007
